"Fecha";"Usuario"
"2017-09-28 07:14:11";"CGLADMINISTRADOR"
"2017-09-28 07:33:49";"amarinr9"
"2017-09-28 07:34:21";"jlassom1"
"2017-09-28 07:35:28";"jlassom1"
"2017-09-28 07:35:54";"mmunozt9"
"2017-09-28 07:37:15";"sosoriol"
"2017-09-28 07:37:47";"sosoriol"
"2017-09-28 07:42:53";"mmunozt9"
"2017-09-28 07:42:56";"mmunozt9"
"2017-09-28 07:43:13";"mmunozt9"
"2017-09-28 07:43:31";"mmunozt9"
"2017-09-28 07:43:42";"mmunozt9"
"2017-09-28 07:48:18";"mmunozt9"
"2017-09-28 07:48:34";"mllanosb"
"2017-09-28 07:48:58";"mmunozt9"
"2017-09-28 07:52:13";"mmunozt9"
"2017-09-28 07:53:19";"jmarino8"
"2017-09-28 07:58:32";"mmunozt9"
"2017-09-28 08:00:55";"mmunozt9"
"2017-09-28 08:04:45";"jmarino8"
"2017-09-28 08:07:13";"egcalle5"
"2017-09-28 08:08:03";"ipezona3"
"2017-09-28 08:08:59";"jmarino8"
"2017-09-28 08:11:19";"mmunozt9"
"2017-09-28 08:18:46";"mmunozt9"
"2017-09-28 08:19:59";"mmunozt9"
"2017-09-28 08:23:33";"mmunozt9"
"2017-09-28 08:24:31";"mmunozt9"
"2017-09-28 08:41:09";"CGLADMINISTRADOR"
"2017-09-28 08:52:55";"mmunozt9"
"2017-09-28 09:20:55";"CGLADMINISTRADOR"
"2017-09-28 09:49:32";"mmunozt9"
"2017-09-28 09:50:37";"mmunozt9"
"2017-09-28 10:10:53";"mmunozt9"
"2017-09-28 10:10:56";"mmunozt9"
"2017-09-28 10:16:22";"mmunozt9"
"2017-09-28 10:22:35";"mmunozt9"
"2017-09-28 10:34:50";"mmunozt9"
"2017-09-28 11:08:33";"asorteg3"
"2017-09-28 11:10:09";"atiquej2"
"2017-09-28 11:17:08";"mmunozt9"
"2017-09-28 11:19:52";"mmunozt9"
"2017-09-28 11:26:35";"alopezla"
"2017-09-28 11:27:52";"alopezla"
"2017-09-28 11:29:04";"mmunozt9"
"2017-09-28 11:29:50";"alopezla"
"2017-09-28 11:37:59";"adiazri2"
"2017-09-28 11:38:20";"rperezh9"
"2017-09-28 11:38:36";"lruizbe"
"2017-09-28 11:38:57";"lsilvam1"
"2017-09-28 11:39:10";"mmunozt9"
"2017-09-28 11:39:18";"bferna79"
"2017-09-28 11:39:22";"chgomez1"
"2017-09-28 11:39:30";"frgarci2"
"2017-09-28 11:39:52";"vfloresi"
"2017-09-28 11:41:03";"mmunozt9"
"2017-09-28 11:43:09";"vfloresh"
"2017-09-28 11:43:22";"amperez9"
"2017-09-28 11:43:38";"dmendie4"
"2017-09-28 11:44:23";"lsgutie2"
"2017-09-28 11:44:40";"laguirrn"
"2017-09-28 11:44:50";"sggonzah"
"2017-09-28 11:46:23";"laguirrn"
"2017-09-28 11:50:41";"ysalazah"
"2017-09-28 11:53:54";"vherna51"
"2017-09-28 11:56:43";"jrestree"
"2017-09-28 12:28:02";"mmunozt9"
"2017-09-28 12:31:05";"mmcardo2"
"2017-09-28 12:33:50";"onorena1"
"2017-09-28 12:34:29";"mmcardo2"
"2017-09-28 12:34:48";"mmcardo2"
"2017-09-28 12:41:59";"nramir17"
"2017-09-28 12:43:10";"nramir17"
"2017-09-28 12:43:51";"mmarinmb"
"2017-09-28 12:44:24";"nramir17"
"2017-09-28 12:49:19";"ollanos"
"2017-09-28 13:23:01";"mmunozt9"
"2017-09-28 13:27:48";"mmunozt9"
"2017-09-28 13:39:07";"cagudeld"
"2017-09-28 13:45:50";"asorteg3"
"2017-09-28 13:46:45";"acasta30"
"2017-09-28 13:47:24";"cgiral10"
"2017-09-28 13:48:08";"efraile9"
"2017-09-28 13:48:26";"agsalaz4"
"2017-09-28 13:48:27";"efrancon"
"2017-09-28 13:48:55";"knietou"
"2017-09-28 13:49:51";"kramireu"
"2017-09-28 13:50:27";"lvasquet"
"2017-09-28 13:50:57";"lsalaz30"
"2017-09-28 13:51:09";"acangul1"
"2017-09-28 13:51:16";"langela"
"2017-09-28 13:51:32";"mmdiaz1k"
"2017-09-28 13:51:44";"abetanc2"
"2017-09-28 13:51:54";"msantaf2"
"2017-09-28 13:52:24";"scardoz4"
"2017-09-28 13:52:30";"aduquec3"
"2017-09-28 13:52:41";"vpuerta"
"2017-09-28 13:52:57";"vcanoca1"
"2017-09-28 13:53:03";"cmmonto2"
"2017-09-28 13:54:19";"cmoral70"
"2017-09-28 13:54:53";"gsernaz"
"2017-09-28 13:55:42";"hvillag1"
"2017-09-28 13:56:12";"jagudeln"
"2017-09-28 13:56:42";"jocampog"
"2017-09-28 13:57:13";"jarangoc"
"2017-09-28 13:57:36";"atiquej2"
"2017-09-28 13:57:44";"jrestreh"
"2017-09-28 13:58:24";"lhinest1"
"2017-09-28 13:58:47";"mmunozt9"
"2017-09-28 13:59:02";"sosoriok"
"2017-09-28 13:59:26";"sgomezcj"
"2017-09-28 14:09:06";"xpavahe"
