"Fecha";"Usuario";"Agencia"
"2018-08-01 02:51:12";"admin";"Madrid"
"2018-08-01 03:23:20";"admin";"Madrid"
"2018-08-01 05:58:40";"mrubiam";"EMERGIA ESPAÑA"
"2018-08-01 06:52:44";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 07:03:22";"msimonc3";"KONECTA LISBOA"
"2018-08-01 07:03:25";"92210";"MARKTEL"
"2018-08-01 07:06:26";"ggonza94";"EMERGIA ESPAÑA"
"2018-08-01 07:06:26";"rsardin1";"EMERGIA ESPAÑA"
"2018-08-01 07:21:37";"madison";"MADISON"
"2018-08-01 07:22:56";"92480";"MARKTEL"
"2018-08-01 07:32:34";"mnortes1";"ATENTO VALENCIA INBOUND"
"2018-08-01 08:00:53";"mmunozt9";"ATENTO VALENCIA INBOUND"
"2018-08-01 08:02:18";"mnortes1";"ATENTO VALENCIA INBOUND"
"2018-08-01 08:19:19";"apavong2";"EMERGIA ESPAÑA"
"2018-08-01 08:22:33";"apavong2";"EMERGIA ESPAÑA"
"2018-08-01 08:26:06";"edomin03";"KONECTA LISBOA"
"2018-08-01 08:37:24";"92496";"MARKTEL"
"2018-08-01 08:38:26";"msimonc3";"KONECTA LISBOA"
"2018-08-01 08:52:32";"92480";"MARKTEL"
"2018-08-01 08:57:54";"mcostan2";"GSS MADRID"
"2018-08-01 08:59:16";"mcostan2";"GSS MADRID"
"2018-08-01 09:03:58";"amolins";"ATENTO VALENCIA INBOUND"
"2018-08-01 09:22:45";"sggonzah";"EMERGIA ESPAÑA"
"2018-08-01 09:36:55";"92496";"MARKTEL"
"2018-08-01 09:50:39";"apavong2";"EMERGIA ESPAÑA"
"2018-08-01 10:07:22";"ajherna2";"EMERGIA ESPAÑA"
"2018-08-01 10:09:33";"cvazqu19";"KONECTA LISBOA"
"2018-08-01 10:09:49";"92496";"MARKTEL"
"2018-08-01 10:10:22";"92395";"MARKTEL"
"2018-08-01 10:11:20";"gsanzso1";"ATENTO VALENCIA INBOUND"
"2018-08-01 10:21:08";"92480";"MARKTEL"
"2018-08-01 10:41:06";"aestepa3";"Emergia España"
"2018-08-01 10:45:47";"mnortes1";"ATENTO VALENCIA INBOUND"
"2018-08-01 10:46:53";"92480";"MARKTEL"
"2018-08-01 10:49:20";"admin";"Madrid"
"2018-08-01 11:01:49";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 11:09:54";"92385";"MARKTEL"
"2018-08-01 11:12:31";"rsardin1";"EMERGIA ESPAÑA"
"2018-08-01 11:15:29";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 11:17:53";"92496";"MARKTEL"
"2018-08-01 11:17:53";"eortizg4";"KONECTA LISBOA"
"2018-08-01 11:23:51";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 11:24:02";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 11:25:05";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 11:25:25";"92393";"MARKTEL"
"2018-08-01 11:26:26";"92480";"MARKTEL"
"2018-08-01 11:28:30";"admin";"Madrid"
"2018-08-01 11:35:43";"92496";"MARKTEL"
"2018-08-01 11:45:14";"92496";"MARKTEL"
"2018-08-01 11:46:43";"mcostan2";"GSS MADRID"
"2018-08-01 11:51:14";"92496";"MARKTEL"
"2018-08-01 11:51:32";"92496";"MARKTEL"
"2018-08-01 11:51:47";"92496";"MARKTEL"
"2018-08-01 11:59:56";"nscorte1";"KONECTA LISBOA"
"2018-08-01 12:14:47";"bigualt1";"ATENTO VALENCIA INBOUND"
"2018-08-01 12:16:07";"admin";"Madrid"
"2018-08-01 12:19:26";"92385";"MARKTEL"
"2018-08-01 12:31:39";"92393";"MARKTEL"
"2018-08-01 12:33:48";"asiveri";"GSS MADRID"
"2018-08-01 12:34:22";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 12:38:19";"mcostan2";"GSS MADRID"
"2018-08-01 12:40:48";"mcostan2";"GSS MADRID"
"2018-08-01 12:41:30";"mcostan2";"GSS MADRID"
"2018-08-01 12:42:20";"dcruzga1";"EMERGIA ESPAÑA"
"2018-08-01 12:44:20";"dcruzga1";"EMERGIA ESPAÑA"
"2018-08-01 12:45:06";"mdeisid";"EMERGIA ESPAÑA"
"2018-08-01 13:08:54";"92496";"MARKTEL"
"2018-08-01 13:09:11";"92496";"MARKTEL"
"2018-08-01 13:09:55";"92395";"MARKTEL"
"2018-08-01 13:12:08";"mmunozt9";"ATENTO VALENCIA INBOUND"
"2018-08-01 13:14:02";"achamora";"GSS MADRID"
"2018-08-01 13:22:13";"cbanosg3";"EMERGIA ESPAÑA"
"2018-08-01 13:29:24";"admin";"Madrid"
"2018-08-01 13:36:50";"92496";"MARKTEL"
"2018-08-01 13:48:05";"mescudek";"EMERGIA ESPAÑA"
"2018-08-01 13:57:28";"cronald";"GSS MADRID"
"2018-08-01 14:00:52";"92480";"MARKTEL"
"2018-08-01 14:01:40";"92496";"MARKTEL"
"2018-08-01 14:02:37";"92324";"MARKTEL"
"2018-08-01 14:05:59";"92246";"MARKTEL"
"2018-08-01 14:08:01";"92337";"MARKTEL"
"2018-08-01 14:11:10";"92395";"MARKTEL"
"2018-08-01 14:18:33";"mmunozt9";"ATENTO VALENCIA INBOUND"
"2018-08-01 14:23:02";"jsgomez5";"EMERGIA ESPAÑA"
"2018-08-01 14:30:00";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 14:30:41";"92208";"MARKTEL"
"2018-08-01 14:49:47";"admin";"Madrid"
"2018-08-01 14:53:02";"madison";"MADISON"
"2018-08-01 14:55:20";"92496";"MARKTEL"
"2018-08-01 15:02:40";"eortizg4";"KONECTA LISBOA"
"2018-08-01 15:08:32";"92496";"MARKTEL"
"2018-08-01 15:11:30";"92337";"MARKTEL"
"2018-08-01 15:15:23";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 15:35:06";"mescudek";"EMERGIA ESPAÑA"
"2018-08-01 15:37:32";"92496";"MARKTEL"
"2018-08-01 15:54:21";"92246";"MARKTEL"
"2018-08-01 15:56:22";"mcabellm";"ATENTO VALENCIA INBOUND"
"2018-08-01 15:57:56";"konectalisboa";"KONECTA LISBOA"
"2018-08-01 15:58:57";"msimonc3";"KONECTA LISBOA"
"2018-08-01 16:07:57";"admin";"Madrid"
