"Fecha";"Usuario";"Agencia"
"2017-06-14 03:27:22";"admin";
"2017-06-14 03:41:56";"admin";
"2017-06-14 03:51:33";"admin";
"2017-06-14 03:55:33";"admin";
"2017-06-14 04:08:08";"admin";
"2017-06-14 05:58:54";"admin";
"2017-06-14 05:59:20";"admin";
"2017-06-14 05:59:38";"admin";
"2017-06-14 06:00:47";"admin";
"2017-06-14 17:20:11";"admin";
"2017-06-14 17:38:45";"admin";
"2017-06-14 17:40:58";"admin";
"2017-06-15 03:19:47";"admin";
"2017-06-15 03:20:02";"admin";
"2017-06-15 03:23:22";"admin";
"2017-06-15 03:37:07";"admin";
"2017-06-15 03:39:33";"admin";
"2017-06-15 03:41:42";"admin";
"2017-06-15 03:45:12";"admin";
"2017-06-15 03:46:12";"admin";
"2017-06-15 03:47:56";"admin";
"2017-06-15 03:48:29";"admin";
"2017-06-15 03:50:46";"admin";
"2017-06-15 03:53:08";"admin";
"2017-06-15 03:53:57";"admin";
"2017-06-15 03:55:28";"admin";
"2017-06-15 03:56:08";"admin";
"2017-06-15 03:57:47";"admin";
"2017-06-15 05:09:04";"admin";
"2017-06-15 05:11:55";"admin";
"2017-06-15 05:12:44";"admin";
"2017-06-15 11:32:31";"admin";
"2017-06-15 11:32:53";"admin";
"2017-06-15 16:15:07";"admin";
"2017-06-15 16:23:48";"admin";
"2017-06-15 16:24:19";"admin";
"2017-06-15 16:47:43";"admin";
"2017-06-15 16:49:52";"admin";
"2017-06-15 17:05:53";"admin";
"2017-06-15 17:25:22";"admin";
"2017-06-15 19:02:41";"Angel";
"2017-06-15 19:03:03";"admin";
"2017-06-16 03:46:54";"admin";
"2017-06-16 03:47:21";"Angel";
"2017-06-16 05:08:31";"Edson";
"2017-06-16 05:09:46";"admin";
"2017-06-16 05:19:46";"admin";
"2017-06-16 05:22:45";"admin";
"2017-06-16 05:24:04";"Carlos";
"2017-06-16 05:24:21";"admin";
"2017-06-16 05:35:06";"admin";
"2017-06-16 06:31:40";"admin";
"2017-06-16 06:33:50";"admin";
"2017-06-16 07:47:30";"admin";
"2017-06-16 08:06:02";"admin";
"2017-06-16 10:54:25";"admin";
"2017-06-16 11:00:37";"admin";
"2017-06-16 11:08:05";"admin";
"2017-06-16 11:13:58";"admin";
"2017-06-16 11:16:31";"admin";
"2017-06-16 11:19:50";"admin";
"2017-06-16 11:21:55";"admin";
"2017-06-16 11:25:13";"admin";
"2017-06-16 11:27:03";"admin";
"2017-06-16 11:28:17";"admin";
"2017-06-16 11:29:54";"admin";
"2017-06-16 11:36:06";"admin";
"2017-06-16 11:40:40";"admin";
"2017-06-16 11:48:32";"admin";
"2017-06-16 11:51:28";"admin";
"2017-06-16 11:55:12";"admin";
"2017-06-16 13:06:18";"admin";
"2017-06-16 13:06:18";"admin";
"2017-06-16 13:10:57";"admin";
"2017-06-16 13:15:40";"admin";
"2017-06-16 13:36:32";"admin";
"2017-06-16 13:40:20";"admin";
"2017-06-16 13:41:57";"admin";
"2017-06-16 13:43:33";"admin";
"2017-06-16 13:45:40";"admin";
"2017-06-16 13:47:19";"admin";
"2017-06-16 13:49:40";"admin";
"2017-06-16 13:52:17";"admin";
"2017-06-16 13:54:11";"admin";
"2017-06-16 14:05:31";"admin";
"2017-06-16 14:11:22";"admin";
"2017-06-16 14:12:34";"admin";
"2017-06-16 14:15:54";"admin";
"2017-06-16 14:17:43";"admin";
"2017-06-16 14:18:54";"admin";
"2017-06-16 14:22:29";"admin";
"2017-06-16 14:23:52";"admin";
"2017-06-16 14:25:29";"admin";
"2017-06-16 14:27:32";"admin";
"2017-06-16 14:30:29";"admin";
"2017-06-16 14:34:07";"admin";
"2017-06-16 14:34:32";"admin";
"2017-06-16 16:33:30";"admin";
"2017-06-16 16:36:12";"admin";
"2017-06-16 16:40:32";"admin";
"2017-06-16 16:41:06";"admin";
"2017-06-16 16:48:32";"admin";
"2017-06-16 19:34:17";"admin";
"2017-06-16 19:34:51";"admin";
"2017-06-16 19:40:08";"admin";
"2017-06-16 19:41:17";"admin";
"2017-06-16 19:48:39";"admin";
"2017-06-16 19:49:24";"Dos";
"2017-06-16 19:49:57";"admin";
"2017-06-16 19:51:14";"admin";
"2017-06-17 03:20:54";"admin";
"2017-06-17 03:37:39";"admin";
"2017-06-17 04:39:18";"admin";
"2017-06-18 16:59:33";"master";
"2017-06-20 18:18:21";"master";
"2017-06-20 18:20:10";"master";
"2017-06-21 15:54:30";"admin";
"2017-06-21 16:06:59";"master";
"2017-06-21 16:15:36";"master";
"2017-06-21 17:11:49";"master";
"2017-06-21 18:15:57";"admin";
"2017-06-22 17:50:13";"mofernandez";
"2017-06-22 17:51:52";"aayerra";
"2017-06-22 18:02:12";"aayerra";
"2017-06-22 18:02:52";"mofernandez";
"2017-06-22 18:12:28";"vavenda2";
"2017-06-22 18:33:35";"ealvar99";
"2017-06-23 00:48:01";"vavenda2";
"2017-06-23 00:55:24";"ealvar99";
"2017-06-23 08:01:24";"ealvar99";
"2017-06-26 10:07:31";"ealvar99";
"2017-06-26 10:07:50";"ealvar99";
"2017-06-26 10:13:35";"ealvar99";
"2017-06-26 10:15:18";"vavenda2";
"2017-06-27 09:23:06";"ealvar99";
"2017-06-28 08:04:22";"ealvar99";
"2017-06-28 08:04:42";"ealvar99";
"2017-06-29 10:33:01";"ealvar99";
"2017-06-29 10:38:21";"vavenda2";
"2017-07-01 08:43:41";"admin";
"2017-07-02 05:26:52";"admin";
"2017-07-02 05:43:02";"admin";
"2017-07-02 06:34:28";"admin";
"2017-07-02 06:39:44";"admin";
"2017-07-02 06:42:31";"admin";
"2017-07-02 06:44:32";"admin";
"2017-07-02 06:48:59";"admin";
"2017-07-02 06:51:32";"admin";
"2017-07-02 06:53:26";"admin";
"2017-07-02 06:54:59";"admin";
"2017-07-02 06:57:39";"admin";
"2017-07-02 07:03:36";"admin";
"2017-07-02 07:05:07";"admin";
"2017-07-02 07:40:13";"admin";
"2017-07-02 07:41:35";"admin";
"2017-07-02 10:38:28";"vavenda2";
"2017-07-02 18:09:39";"vavenda2";
"2017-07-02 18:25:00";"vavenda2";
"2017-07-02 18:29:07";"TEST_Angel";
"2017-07-02 18:53:31";"vavenda2";
"2017-07-02 18:56:07";"vavenda2";
"2017-07-02 18:56:41";"TEST_Angel";
"2017-07-02 18:57:23";"admin";
"2017-07-02 18:59:02";"vavenda2";
"2017-07-02 19:00:53";"ealvar99";
"2017-07-02 19:01:55";"admin";
"2017-07-02 19:03:21";"admin";
"2017-07-02 19:42:37";"admin";
"2017-07-02 20:02:47";"admin";
"2017-07-02 20:06:44";"admin";
"2017-07-03 03:10:37";"admin";
"2017-07-03 03:13:10";"admin";
"2017-07-03 03:17:01";"admin";
"2017-07-03 03:24:24";"admin";
