"Fecha";"Usuario"
"2018-02-11 07:51:02";"cperteg2"
"2018-02-11 08:12:21";"acarmen4"
"2018-02-11 08:19:04";"mmunozt9"
"2018-02-11 08:24:05";"92392"
"2018-02-11 09:46:00";"mmunozt9"
"2018-02-11 10:20:35";"mmunozt9"
"2018-02-11 12:31:17";"mbarriga"
"2018-02-11 14:13:26";"mgomezaw"
"2018-02-11 14:16:24";"mmunozt9"
"2018-02-11 14:51:24";"mmunozt9"
"2018-02-11 14:53:22";"92395"
"2018-02-11 15:08:55";"mmateup2"
"2018-02-11 16:01:48";"mmunozt9"
"2018-02-11 16:57:42";"mnortes1"
"2018-02-11 18:33:20";"mnortes1"
"2018-02-11 19:05:20";"mmateup2"
"2018-02-11 19:06:10";"mmunozt9"
"2018-02-11 19:09:20";"mmunozt9"
"2018-02-11 19:11:55";"92395"
"2018-02-11 20:31:48";"mmunozt9"
"2018-02-12 07:36:09";"cperteg2"
"2018-02-12 07:56:53";"rsardin1"
"2018-02-12 08:05:26";"amolins"
"2018-02-12 08:07:51";"fsanchi2"
"2018-02-12 08:08:38";"mmunozt9"
"2018-02-12 08:08:48";"mmunozt9"
"2018-02-12 08:10:54";"mmunozt9"
"2018-02-12 08:14:09";"92210"
"2018-02-12 08:18:22";"92496"
"2018-02-12 08:31:04";"sggonzah"
"2018-02-12 08:31:33";"gizquie5"
"2018-02-12 08:36:30";"mmunozt9"
"2018-02-12 08:49:52";"92385"
"2018-02-12 08:49:54";"92392"
"2018-02-12 09:12:47";"amolins"
"2018-02-12 09:38:15";"jsanc116"
"2018-02-12 09:38:18";"mmunozt9"
"2018-02-12 09:39:15";"gizquie5"
"2018-02-12 09:46:04";"92201"
"2018-02-12 10:02:03";"cperteg2"
"2018-02-12 10:02:49";"mmunozt9"
"2018-02-12 10:11:23";"ggonza94"
"2018-02-12 10:11:50";"sggonzah"
"2018-02-12 10:21:46";"mmunozt9"
"2018-02-12 10:26:24";"jsanc116"
"2018-02-12 10:42:03";"gizquie5"
"2018-02-12 11:02:21";"sarroyo9"
"2018-02-12 11:16:54";"fsanchi2"
"2018-02-12 11:18:17";"mmunozt9"
"2018-02-12 11:23:27";"amolins"
"2018-02-12 11:24:45";"jsanc116"
"2018-02-12 11:30:57";"rpelege1"
"2018-02-12 11:35:22";"92385"
"2018-02-12 11:36:03";"mmunozt9"
"2018-02-12 11:40:41";"oespino6"
"2018-02-12 11:41:48";"erubiog6"
"2018-02-12 11:48:41";"mmunozt9"
"2018-02-12 12:15:09";"oespino6"
"2018-02-12 12:34:13";"gizquie5"
"2018-02-12 12:35:40";"mgomezaw"
