"Fecha";"Usuario"
"2017-09-20 09:53:24";"ipezona3"
"2017-09-20 10:11:06";"ipezona3"
"2017-09-20 10:12:21";"ipezona3"
"2017-09-20 10:25:40";"ipezona3"
"2017-09-20 15:44:23";"ipezona3"
"2017-09-20 17:15:19";"admin"
"2017-09-20 17:27:27";"admin"
"2017-09-21 04:04:10";"admin"
"2017-09-21 05:09:28";"admin"
"2017-09-21 07:17:32";"admin"
"2017-09-21 07:19:34";"admin"
"2017-09-21 07:24:05";"admin"
"2017-09-21 14:26:08";"ipezona3"
"2017-09-21 14:39:10";"dmoralep"
"2017-09-21 15:13:08";"bporras2"
"2017-09-21 15:13:17";"dalbaso1"
"2017-09-21 15:13:26";"efloresd"
"2017-09-21 15:13:34";"rpulido5"
"2017-09-21 15:13:42";"murbano1"
"2017-09-21 15:13:50";"ljimen18"
"2017-09-21 15:13:57";"rmunozgc"
"2017-09-21 15:14:05";"ymolina5"
"2017-09-21 15:14:12";"vromeroo"
"2017-09-21 15:14:20";"gporras1"
"2017-09-21 15:14:28";"lmolinaj"
"2017-09-21 15:14:36";"dvaldec2"
"2017-09-21 15:15:28";"ibernal4"
"2017-09-21 15:15:38";"tcordob1"
"2017-09-21 15:15:47";"jdeluna"
"2017-09-21 15:16:11";"cmoheda"
"2017-09-21 15:16:19";"apavong2"
"2017-09-21 15:16:26";"rdegado"
"2017-09-21 15:16:33";"mmdiaz1b"
"2017-09-21 15:16:41";"mcalerod"
"2017-09-21 15:16:48";"aortizb3"
"2017-09-21 15:18:03";"scazall2"
"2017-09-21 15:18:10";"sgomezd7"
"2017-09-21 15:18:17";"dgomezb2"
"2017-09-21 15:19:53";"rsredon1"
"2017-09-21 15:20:01";"mdiazgu1"
"2017-09-21 15:20:08";"calvar75"
"2017-09-21 15:20:14";"flunape"
"2017-09-21 15:21:56";"cggarcih"
"2017-09-21 15:23:37";"elopezmb"
"2017-09-21 15:23:45";"hgarciak"
"2017-09-21 15:23:53";"mvaquer7"
"2017-09-21 15:24:00";"drsanch1"
"2017-09-21 15:24:06";"lserranj"
"2017-09-21 15:24:13";"jflopez3"
"2017-09-21 15:24:20";"jmarquex"
"2017-09-21 15:24:27";"irivera5"
"2017-09-21 15:24:34";"gortiza1"
"2017-09-21 15:39:42";"vavenda2"
"2017-09-21 16:04:50";"admin"
"2017-09-21 16:10:32";"admin"
"2017-09-21 16:28:48";"admin"
