"Fecha";"Usuario";"Agencia"
"2019-02-01 07:18:50";"cperteg2";"ATENTO VALENCIA INBOUND"
"2019-02-01 07:41:29";"92496";"MARKTEL"
"2019-02-01 07:55:45";"92496";"MARKTEL"
"2019-02-01 07:59:42";"emiliy";"MADISON"
"2019-02-01 08:07:03";"jherr115";"MADISON"
"2019-02-01 08:08:38";"admin";"Madrid"
"2019-02-01 08:11:56";"mrodr211";"MADISON"
"2019-02-01 08:23:43";"92496";"MARKTEL"
"2019-02-01 08:23:58";"92496";"MARKTEL"
"2019-02-01 08:32:23";"emiliy";"MADISON"
"2019-02-01 08:36:11";"92496";"MARKTEL"
"2019-02-01 08:39:41";"92496";"MARKTEL"
"2019-02-01 08:39:41";"92496";"MARKTEL"
"2019-02-01 08:42:20";"92496";"MARKTEL"
"2019-02-01 08:49:59";"92496";"MARKTEL"
"2019-02-01 08:56:03";"92496";"MARKTEL"
"2019-02-01 09:00:33";"92496";"MARKTEL"
"2019-02-01 09:07:17";"mmateup2";"ATENTO VALENCIA INBOUND"
"2019-02-01 09:29:27";"92496";"MARKTEL"
"2019-02-01 09:31:11";"emiliy";"MADISON"
"2019-02-01 09:35:24";"jherr115";"MADISON"
"2019-02-01 09:53:29";"92496";"MARKTEL"
"2019-02-01 09:54:26";"92496";"MARKTEL"
"2019-02-01 10:05:30";"mrodr211";"MADISON"
"2019-02-01 10:10:02";"92496";"MARKTEL"
"2019-02-01 10:13:02";"92496";"MARKTEL"
"2019-02-01 10:25:44";"92496";"MARKTEL"
"2019-02-01 10:37:40";"92496";"MARKTEL"
"2019-02-01 10:41:13";"jherr115";"MADISON"
"2019-02-01 10:44:26";"92496";"MARKTEL"
"2019-02-01 10:55:51";"92496";"MARKTEL"
"2019-02-01 10:58:34";"92496";"MARKTEL"
"2019-02-01 11:05:53";"92496";"MARKTEL"
"2019-02-01 11:18:19";"92496";"MARKTEL"
"2019-02-01 11:26:16";"mmateup2";"ATENTO VALENCIA INBOUND"
"2019-02-01 11:29:52";"92496";"MARKTEL"
"2019-02-01 11:30:19";"92496";"MARKTEL"
"2019-02-01 11:33:25";"92496";"MARKTEL"
"2019-02-01 11:35:26";"mrodr211";"MADISON"
"2019-02-01 11:43:17";"92496";"MARKTEL"
"2019-02-01 11:53:33";"92496";"MARKTEL"
"2019-02-01 11:57:06";"jherr115";"MADISON"
"2019-02-01 11:57:26";"92496";"MARKTEL"
"2019-02-01 12:21:21";"92496";"MARKTEL"
"2019-02-01 12:38:08";"92496";"MARKTEL"
"2019-02-01 12:40:50";"92496";"MARKTEL"
"2019-02-01 12:42:06";"92496";"MARKTEL"
"2019-02-01 12:51:42";"92496";"MARKTEL"
"2019-02-01 12:58:49";"92496";"MARKTEL"
"2019-02-01 13:00:50";"92496";"MARKTEL"
"2019-02-01 13:08:35";"92496";"MARKTEL"
"2019-02-01 13:12:46";"92496";"MARKTEL"
"2019-02-01 13:15:36";"92496";"MARKTEL"
"2019-02-01 13:22:23";"92496";"MARKTEL"
"2019-02-01 13:29:47";"92496";"MARKTEL"
"2019-02-01 13:43:45";"jherr115";"MADISON"
"2019-02-01 13:45:07";"92496";"MARKTEL"
"2019-02-01 13:45:17";"92496";"MARKTEL"
"2019-02-01 13:48:30";"92496";"MARKTEL"
"2019-02-01 13:57:13";"92496";"MARKTEL"
"2019-02-01 14:08:04";"92496";"MARKTEL"
"2019-02-01 14:09:26";"92496";"MARKTEL"
"2019-02-01 14:10:57";"mrodr211";"MADISON"
"2019-02-01 14:12:45";"92496";"MARKTEL"
"2019-02-01 14:21:30";"jherr115";"MADISON"
"2019-02-01 14:26:17";"mmateup2";"ATENTO VALENCIA INBOUND"
"2019-02-01 14:29:22";"92496";"MARKTEL"
"2019-02-01 14:30:26";"92496";"MARKTEL"
"2019-02-01 14:35:32";"92496";"MARKTEL"
"2019-02-01 14:39:29";"mhuelam2";"ATENTO VALENCIA INBOUND"
"2019-02-01 14:47:54";"mmateup2";"ATENTO VALENCIA INBOUND"
"2019-02-01 14:53:45";"vatasan1";"MADISON"
"2019-02-01 14:58:41";"92496";"MARKTEL"
"2019-02-01 15:01:19";"emiliy";"MADISON"
"2019-02-01 15:03:01";"92496";"MARKTEL"
"2019-02-01 15:05:12";"92496";"MARKTEL"
"2019-02-01 15:06:53";"sberrue1";"MADISON"
"2019-02-01 15:10:21";"92246";"MARKTEL"
"2019-02-01 15:12:52";"92496";"MARKTEL"
"2019-02-01 15:14:19";"92496";"MARKTEL"
"2019-02-01 15:16:27";"92496";"MARKTEL"
"2019-02-01 15:17:29";"92496";"MARKTEL"
"2019-02-01 15:18:58";"mfern157";"MADISON"
"2019-02-01 15:24:39";"92496";"MARKTEL"
"2019-02-01 15:26:53";"92496";"MARKTEL"
"2019-02-01 15:30:52";"92496";"MARKTEL"
"2019-02-01 15:34:23";"92496";"MARKTEL"
"2019-02-01 15:45:22";"92496";"MARKTEL"
"2019-02-01 15:49:23";"amonere";"EMERGIA ESPAÑA"
"2019-02-01 15:57:25";"92496";"MARKTEL"
"2019-02-01 16:12:18";"92496";"MARKTEL"
"2019-02-01 16:15:18";"mmunozt9";"ATENTO VALENCIA INBOUND"
"2019-02-01 16:16:12";"mmateup2";"ATENTO VALENCIA INBOUND"
"2019-02-01 16:32:02";"mmateup2";"ATENTO VALENCIA INBOUND"
"2019-02-01 16:32:14";"92496";"MARKTEL"
"2019-02-01 16:36:59";"92496";"MARKTEL"
"2019-02-01 16:37:21";"oespino6";"ATENTO VALENCIA INBOUND"
"2019-02-01 16:40:58";"mfern157";"MADISON"
"2019-02-01 16:47:40";"yflorin1";"ATENTO VALENCIA INBOUND"
