"Fecha";"Usuario"
"2017-09-25 12:40:57";"admin"
"2017-09-25 14:44:43";"admin"
"2017-09-25 14:44:44";"admin"
"2017-09-25 14:45:40";"admin"
"2017-09-25 15:42:49";"ipezona3"
"2017-09-26 09:26:45";"fvazqueq"
"2017-09-26 09:29:53";"mcalleje"
"2017-09-26 09:30:17";"lmoren87"
"2017-09-26 09:30:50";"irobles5"
"2017-09-26 09:31:11";"aggonz60"
"2017-09-26 09:31:28";"churtadd"
"2017-09-26 09:31:43";"imaqued3"
"2017-09-26 09:32:37";"smoral31"
"2017-09-26 09:32:51";"acarra36"
"2017-09-26 09:33:05";"mcosiop"
"2017-09-26 09:33:18";"eherena1"
"2017-09-26 09:33:32";"jjnunez3"
"2017-09-26 09:33:44";"ealvar99"
"2017-09-26 09:33:57";"assanchs"
"2017-09-26 09:34:09";"msmunoz9"
"2017-09-26 09:34:21";"hdiezme"
"2017-09-26 11:12:41";"scabella"
"2017-09-26 11:12:58";"mcostan2"
"2017-09-26 11:13:11";"rmvilla4"
"2017-09-26 11:14:04";"jrequen7"
"2017-09-26 11:14:16";"gmendozk"
"2017-09-26 11:14:27";"vgsanse1"
"2017-09-26 11:14:47";"jtejadaa"
"2017-09-26 11:14:56";"issanch5"
"2017-09-26 11:15:07";"mvicen18"
"2017-09-26 11:15:19";"ogarci81"
"2017-09-26 11:15:31";"cjabone1"
"2017-09-26 11:15:43";"emoral59"
"2017-09-26 11:15:55";"scastano"
"2017-09-26 11:16:07";"avardila"
"2017-09-26 11:16:18";"rgusano1"
"2017-09-26 11:16:29";"mhormen3"
"2017-09-26 11:16:41";"jmadari"
"2017-09-26 11:16:52";"jfresno"
"2017-09-26 11:17:21";"lsruiz1a"
"2017-09-26 11:17:40";"mlarama5"
"2017-09-26 11:17:52";"enoguer4"
"2017-09-26 11:18:04";"alunace"
"2017-09-26 11:18:16";"rmaroto3"
"2017-09-26 11:18:27";"mhmarin2"
"2017-09-26 11:21:52";"icampan1"
"2017-09-26 11:22:03";"alavaye"
"2017-09-26 11:22:13";"aremeza"
"2017-09-26 11:22:24";"csutilr"
"2017-09-26 11:22:35";"olopezj2"
"2017-09-26 11:31:11";"olopezj2"
"2017-09-26 11:32:47";"aordonej"
"2017-09-26 11:33:22";"jdbaeza1"
"2017-09-26 11:33:34";"pdiazfl"
"2017-09-26 11:36:19";"rmadrida"
"2017-09-26 11:36:34";"mofernandez"
"2017-09-26 12:23:46";"mgvizue2"
"2017-09-26 13:09:09";"blopezce"
"2017-09-26 13:15:28";"mgrisal1"
"2017-09-26 13:16:20";"mofernandez"
"2017-09-26 13:27:31";"eluciap2"
"2017-09-26 13:28:41";"admin"
"2017-09-26 13:33:38";"rpayseo1"
"2017-09-26 13:34:20";"rpayseo1"
"2017-09-26 13:34:54";"admin"
"2017-09-26 13:40:25";"cgiral10"
"2017-09-26 13:40:57";"dmomeni2"
"2017-09-26 13:41:18";"dmomeni2"
"2017-09-26 13:45:04";"cdomin54"
"2017-09-26 13:46:51";"cdomin54"
"2017-09-26 13:47:16";"jesteb21"
"2017-09-26 13:47:31";"mgarabi3"
"2017-09-26 13:47:45";"mggonz75"
"2017-09-26 13:47:49";"cdomin54"
"2017-09-26 13:50:50";"admin"
"2017-09-26 13:55:04";"admin"
"2017-09-26 13:55:28";"fdeloss5"
"2017-09-26 13:59:00";"admin"
"2017-09-26 14:04:09";"cdomin54"
"2017-09-26 14:07:38";"admin"
"2017-09-26 14:22:21";"nperdom5"
"2017-09-26 14:22:42";"admin"
"2017-09-26 14:24:46";"nperdom5"
"2017-09-26 14:24:50";"jacobo.cataluna"
"2017-09-26 14:25:18";"dmoralep"
"2017-09-26 14:49:20";"mgrisal1"
"2017-09-26 14:51:31";"mgrisal1"
"2017-09-26 14:51:32";"mgrisal1"
"2017-09-26 14:53:47";"mgrisal1"
"2017-09-26 14:54:17";"jacobo.cataluna"
"2017-09-26 14:58:09";"mgrisal1"
"2017-09-26 15:47:56";"dmomeni2"
"2017-09-26 17:35:32";"admin"
"2017-09-26 17:59:36";"CGLADMINISTRADOR"
"2017-09-26 18:09:15";"CGLADMINISTRADOR"
"2017-09-26 19:04:40";"CGLADMINISTRADOR"
"2017-09-26 19:05:58";"CGLADMINISTRADOR"
"2017-09-26 19:06:30";"CGLADMINISTRADOR"
